# 3D point list with one line of data per point
#  POINT_ID, X, Y, Z, R, G, B, ERROR
0 17.594028 -9.047808 -6.234632 137 123 124 0
1 17.476364 -8.989633 -6.203038 121 117 116 0
2 17.295431 -8.900693 -6.004365 139 130 123 0
3 17.440203 -8.841628 -6.075089 132 123 118 0
4 17.900564 -4.923426 -5.891827 153 142 149 0
5 18.223495 -4.611940 -5.959370 138 134 132 0
6 21.940121 -16.135017 -5.743578 146 142 142 0
7 17.811302 -4.886424 -5.787001 152 145 145 0
8 17.882303 -4.906547 -5.759681 156 151 148 0
9 17.780870 -4.788860 -5.771826 160 162 171 0
10 18.187241 -4.699794 -5.774680 142 135 140 0
11 21.740576 -15.335674 -5.455237 151 148 145 0
12 21.798328 -15.337740 -5.411426 159 159 158 0
13 21.728798 -15.296688 -5.411368 166 163 161 0
14 15.297447 -7.365357 -5.440385 129 119 111 0
15 15.334805 -7.370683 -5.540808 150 140 136 0
16 21.696810 -15.345810 -5.379378 154 150 147 0
17 21.760887 -15.351503 -5.347116 168 159 155 0
18 21.547407 -15.183596 -5.310593 169 160 160 0
19 21.661604 -15.270878 -5.359206 164 159 160 0
20 15.700782 -7.521384 -5.321065 134 122 124 0
21 15.564030 -7.481465 -5.313993 134 129 122 0
22 15.622175 -7.456829 -5.293304 143 132 134 0
23 15.375128 -7.327753 -5.368411 160 153 157 0
24 29.151800 4.873896 -5.340014 125 119 109 0
25 21.071617 -15.346342 -5.112576 143 139 135 0
26 21.581038 -14.754911 -5.185862 157 153 151 0
27 21.649336 -14.758227 -5.148242 164 161 160 0
28 21.792530 -14.749323 -5.221505 163 163 160 0
29 21.641912 -14.672737 -5.157924 163 160 157 0
30 15.583086 -7.500964 -5.248460 168 160 160 0
31 24.697834 5.700934 -5.218626 77 87 47 0
32 29.157215 6.445121 -5.166767 139 123 113 0
33 28.927002 6.505367 -5.172513 139 126 121 0
34 28.997362 6.518042 -5.146468 140 130 119 0
35 29.121975 6.546764 -5.174231 138 130 121 0
36 29.060627 6.628333 -5.158294 136 131 120 0
37 29.193073 6.617664 -5.172067 139 131 122 0
38 20.569635 -14.899976 -4.952680 147 142 138 0
39 21.581402 -14.718224 -5.086717 167 160 161 0
40 21.536306 -14.628356 -5.063025 169 165 167 0
41 21.650988 -14.664284 -5.076493 163 161 161 0
42 29.058424 6.554316 -5.040934 120 126 115 0
43 14.820886 -5.044940 -4.830573 136 125 120 0
44 14.988928 -5.093587 -4.861109 138 124 114 0
45 14.741226 -4.871982 -4.828837 128 130 132 0
